Date;Group;Series;Value
15/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8055
16/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8058
17/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8055
18/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8058
19/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8042
22/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8078
23/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
24/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
25/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8035
26/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8029
29/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8035
30/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8032
31/03/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8035
01/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8039
02/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8068
05/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
06/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
07/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
08/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
13/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,812
14/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
15/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
16/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
19/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
20/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
21/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8127
22/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
23/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
26/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
27/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8167
28/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8167
29/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,817
30/04/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
03/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8137
04/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,814
05/05/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8127
